source,target,country,meaning,source_word
He took off his sweater.,He took off his jumper.,British,A warm garment worn over the upper body,sweater
pants,trousers,British,A garment worn on the lower body,pants
I need to buy new pants for work.,I need to buy new trousers for work.,British,A garment worn on the lower body,pants
He spilled coffee on his pants.,He spilled coffee on his trousers.,British,A garment worn on the lower body,pants
These pants are too tight.,These trousers are too tight.,British,A garment worn on the lower body,pants
She wore black pants to the meeting.,She wore black trousers to the meeting.,British,A garment worn on the lower body,pants
sneakers,trainers,British,A type of casual shoe for sports or everyday wear,sneakers
I wear sneakers when I go jogging.,I wear trainers when I go jogging.,British,A type of casual shoe for sports or everyday wear,sneakers
She bought new sneakers for the gym.,She bought new trainers for the gym.,British,A type of casual shoe for sports or everyday wear,sneakers
These sneakers are very comfortable.,These trainers are very comfortable.,British,A type of casual shoe for sports or everyday wear,sneakers
He wore sneakers to the park.,He wore trainers to the park.,British,A type of casual shoe for sports or everyday wear,sneakers
drapes,curtains,British,A piece of fabric used to cover windows,drapes
She closed the drapes before going to bed.,She closed the curtains before going to bed.,British,A piece of fabric used to cover windows,drapes
The drapes are a beautiful shade of blue.,The curtains are a beautiful shade of blue.,British,A piece of fabric used to cover windows,drapes
I need to buy new drapes for the living room.,I need to buy new curtains for the living room.,British,A piece of fabric used to cover windows,drapes
The sunlight filtered through the drapes.,The sunlight filtered through the curtains.,British,A piece of fabric used to cover windows,drapes
underwear,pants,British,Clothing worn beneath outer clothes,underwear
I bought new underwear yesterday.,I bought new pants yesterday.,British,Clothing worn beneath outer clothes,underwear
She folded the clean underwear.,She folded the clean pants.,British,Clothing worn beneath outer clothes,underwear
The store sells men's and women's underwear.,The store sells men's and women's pants.,British,Clothing worn beneath outer clothes,underwear
He packed his underwear for the trip.,He packed his pants for the trip.,British,Clothing worn beneath outer clothes,underwear
diaper,nappy,British,A cloth or disposable garment for babies to urinate and defecate in,diaper
The baby needs a diaper change.,The baby needs a nappy change.,British,A cloth or disposable garment for babies to urinate and defecate in,diaper
She bought a pack of diapers.,She bought a pack of nappies.,British,A cloth or disposable garment for babies to urinate and defecate in,diaper
The diaper is too small for him.,The nappy is too small for him.,British,A cloth or disposable garment for babies to urinate and defecate in,diaper
Diapers are available in different sizes.,Nappies are available in different sizes.,British,A cloth or disposable garment for babies to urinate and defecate in,diaper
vest,waistcoat,British,A sleeveless upper-body garment worn over a shirt,vest
He wore a vest under his jacket.,He wore a waistcoat under his jacket.,British,A sleeveless upper-body garment worn over a shirt,vest
The vest was part of his formal attire.,The waistcoat was part of his formal attire.,British,A sleeveless upper-body garment worn over a shirt,vest
He bought a matching vest and tie.,He bought a matching waistcoat and tie.,British,A sleeveless upper-body garment worn over a shirt,vest
The vest added style to his outfit.,The waistcoat added style to his outfit.,British,A sleeveless upper-body garment worn over a shirt,vest
cell phone,mobile phone,British,A portable telephone,cell phone
She left her cell phone at home.,She left her mobile phone at home.,British,A portable telephone,cell phone
He answered his cell phone.,He answered his mobile phone.,British,A portable telephone,cell phone
I need to charge my cell phone.,I need to charge my mobile phone.,British,A portable telephone,cell phone
Cell phone reception is poor here.,Mobile phone reception is poor here.,British,A portable telephone,cell phone
